"Species","2008","2009","2010","2011","2012","2013","2014"
"Accipiter sp.",0,1,0,2,1,2,1
"American Black Duck",452,264,327,153,279,333,202
"American Black Duck x Mallard (hybrid)",45,4,4,4,3,4,2
"American Coot",34,54,46,106,105,53,186
"American Crow",657,703,984,734,495,471,768
"American Goldfinch",1358,902,689,832,640,677,516
"American Kestrel",25,16,16,8,8,5,5
"American Pipit",1,0,0,1,0,0,0
"American Robin",1587,323,647,806,130,478,77
"American Tree Sparrow",1390,402,940,258,473,487,289
"American Wigeon",0,"cw",0,10,0,0,2
"Bald Eagle",9,5,3,4,3,11,6
"Barn Swallow",0,0,0,0,2,0,0
"Barrow's Goldeneye",0,1,0,0,0,0,0
"Belted Kingfisher",6,1,6,7,8,4,8
"Black Scoter",8,5,1,2,6,4,87
"Black-capped Chickadee",1862,1918,1541,1444,1315,961,1182
"Black-crowned Night-Heron",6,3,4,2,10,11,1
"Black-legged Kittiwake",0,0,0,0,2,0,0
"Black-throated Gray Warbler",0,0,0,"cw",0,0,0
"Blue Jay",527,354,427,257,155,449,290
"Blue-gray Gnatcatcher",0,0,0,1,0,0,0
"Bohemian Waxwing",0,"cw",42,0,"cw",0,0
"Bonaparte's Gull",0,3,0,0,4,4,0
"Brant",0,2,0,1,0,0,0
"Brown Creeper",26,53,24,14,10,15,18
"Brown-headed Cowbird",44,0,3,"cw",7,27,8
"Bufflehead",449,373,251,479,377,321,360
"Cackling Goose",0,0,0,0,4,0,0
"Canada Goose",8008,9092,7586,4876,6079,5646,4747
"Canvasback",87,154,98,1073,190,19,84
"Carolina Wren",40,52,33,44,49,38,52
"Cedar Waxwing",322,443,1136,576,104,180,75
"Chipping Sparrow",0,2,0,0,"cw",2,0
"Common Goldeneye",2024,5792,1797,1630,1141,621,1364
"Common Grackle",2,0,0,"cw",0,1,0
"Common Loon",2,2,0,9,3,0,5
"Common Merganser",3202,527,1200,178,827,501,1079
"Common Raven",0,2,2,2,4,0,2
"Common Redpoll",8,0,10,2,348,0,0
"Common Yellowthroat",0,0,1,0,0,0,0
"Cooper's Hawk",20,17,23,15,9,16,12
"Dark-eyed Junco",1954,615,1285,915,0,0,0
"Dark-eyed Junco (Oregon)",1,0,0,1,0,0,0
"Dark-eyed Junco (Slate-colored)",0,0,0,0,1175,852,742
"Double-crested Cormorant",46,44,17,17,31,49,34
"Downy Woodpecker",308,228,217,184,181,230,222
"duck sp.",15,643,600,8000,1023,5001,500
"Eastern Bluebird",21,9,13,52,32,42,10
"Eastern Phoebe",0,0,0,0,"cw",0,1
"Eastern Screech-Owl",15,4,14,11,9,18,14
"Eastern Towhee",0,0,1,0,0,0,1
"European Starling",8099,10994,9671,16338,2240,13414,8342
"Evening Grosbeak",0,0,0,0,"cw",0,6
"Field Sparrow",0,0,0,2,0,0,0
"finch sp.",0,0,0,0,3,3,0
"Fox Sparrow",0,1,0,2,0,0,1
"Franklin's Gull",0,0,0,1,0,0,0
"Gadwall",74,29,30,25,64,4,28
"Glaucous Gull",50,14,1,7,2,8,14
"Golden-crowned Kinglet",54,67,69,20,11,48,55
"Gray Catbird","cw","cw",0,0,0,0,0
"Great Black-backed Gull",138,181,8,36,110,354,343
"Great Blue Heron (Blue form)",12,6,6,8,15,15,9
"Great Horned Owl",16,6,5,5,6,6,6
"Greater Scaup",4183,14584,4874,3591,2057,1156,3429
"Green-winged Teal",0,28,0,0,0,0,0
